DOI	Affiliations
10.1016/j.molstruc.2019.02.075	FACET, Federal University of Grande Dourados - UFGD, CEP, Dourados-MS, 79804-970, Brazil; IFG, Federal Institute of Goiás – Ceres, CEP, Ceres-Go, 763000-000, Brazil; INFI, Federal University of Mato Grosso do Sul - UFMS, CEP, Campo Grande-MS, 79070-900, Brazil; INQUI, Federal University of Mato Grosso do Sul - UFMS, CEP, Campo Grande-MS, 79074-460, Brazil
10.1002/cptc.201900019	Karlsruhe Institute of Technology (KIT), Institute of Organic Chemistry (IOC), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; KIT, Institute of Functional Interfaces (IFG) POB 3640, Karlsruhe, 76021, Germany; KIT, Institute of Biological Interfaces (IBG-2) POB 3640, Karlsruhe, 76021, Germany; Taras Shevchenko National University of Kyiv, Vul. Volodymyrska 60, Kyiv, 01601, Ukraine; Enamine Ltd., Vul. Chervonotkatska 78, Kyiv, 02094, Ukraine; Lumobiotics GmbH, Auerstraße 2, Karlsruhe, 76227, Germany
10.1590/fst.02318	Instituto Federal Goiano – IF Goiano, Campus Rio Verde, Rio Verde, GO, Brazil; Departamento de Ciência dos Alimentos, Universidade Federal de Lavras – UFLA, Lavras, MG, Brazil; Instituto Federal de Educação, Ciência e Tecnologia de Goiás – IFG, Campus Cidade de Goiás, Goiás Velho, GO, Brazil; Universidade Federal de Lavras – UFLA, Lavras, MG, Brazil; Universidade Federal de Goiás – UFG, Goiânia, GO, Brazil
10.1109/EEEIC.2019.8783270	Graduate Program in Sustainable Process Technology IFG, Goiânia-GO, Brazil; Graduate Program in Electrical and Computer Eng., UFG, Goiânia-GO, Brazil; Graduate Program in Sustainable Process Technology IFG, Itumbiara-GO, Brazil; Anima Projects Engineering Commerce, Goiânia-GO, Brazil
10.1002/open.201900031	Soft Matter Synthesis Laboratory, Institute for Biological Interfaces 3 (IBG 3), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Toxicology & Genetics (ITG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Department of Chemistry, University of Helsinki, P.O. Box 55 (A.I. Virtasen aukio 1) University of Helsinki00014, Finland
10.1016/j.jfranklin.2019.04.023	Escola de Engenharia Elétrica, Mecânica e de Computaçao, UFG, Av. Universitária, N o 1488, Goiânia, Goiás  74605-010, Brazil; Instituto de Matemática e Estatística, UFG, Campus Samambaia, Goiânia, Goiás  74001-970, Brazil; Instituto Federal de Educ. Ciência e Tecnol. de Goiás, IFG, Av. Pedro Ludovico s/n, Loteamento Reny Cury, Anápolis, Goiás  75131-500, Brazil; Agencia Nacional de Telecomunicações ANATEL, Distrito Federal, Brasília  70070-940, Brazil; Faculdade de Engenharia Elétrica, UFU, Av. João Naves de Ávila 2121, N o, Campus Santa Mônica, Uberlândia, Minas Gerais, Brazil; Institut fur Prozessdatenverarbeitung und Elektronik, KIT Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Baden-Württemberg  76344, Germany
10.1016/j.jfranklin.2019.04.024	Escola de Engenharia Elétrica, Mecânica e de Computação, UFG, Av. Universitária, Nº 1488, Goiânia, Goiás  74605-010, Brazil; Instituto de Matemática e Estatística, UFG - Campus Samambaia, Goiânia, Goiás  74001-970, Brazil; Instituto Federal de Educ. Ciência e Tecnol. de Goiás, IFG, Av. Pedro Ludovico s/n, Loteamento Reny Cury, Anápolis, Goiás  75131-500, Brazil; Agencia Nacional de Telecomunicações, ANATEL, Distrito Federal, Brasília, 70070-940, Brazil; Faculdade de Engenharia Elétrica, UFU, Av. João Naves de Ávila, Nº 2121, Campus Santa Mônica, Uberlândia, Minas Gerais, Brazil; Institut fur Prozessdatenverarbeitung und Elektronik, KIT, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Baden-Württemberg  76344, Germany
10.1021/acs.cgd.9b00324	Departament de Química Inorgànica, Instituto de Ciencia Molecular (ICMol), Universitat de València, Paterna, València, 46980, Spain; Instituto Federal de Goiás - IFG, Goiás, 75131-457, Brazil; Instituto de Química, Universidade Federal de Goiás, Goiânia, 74690-900, Brazil; Dipartimento di Chimica e Tecnologie Chimiche (CTC), Università della Calabria, Rende, Cosenza, 87036, Italy
10.1002/smll.201900083	Karlsruhe Institute of Technology (KIT), Institute for Biological Interfaces (IBG 1), Hermann-von-Helmholtz-Platz, Eggenstein-Leopoldshafen, D-76344, Germany; BASF SE, Dispersions & Colloidal Materials – B001, Carl-Bosch-Straße 38, Ludwigshafen, 67056, Germany; Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz, Eggenstein-Leopoldshafen, D-76344, Germany
10.1021/acssuschemeng.9b00157	Department of Materials Science and Engineering, University of Texas at Dallas, 800 West Campbell Road, Richardson, TX  75080, United States; Karlsruher Institut für Technologie (KIT), Institut für Funktionelle Grenzflächen (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1021/acs.jpcc.8b11920	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1007/s00381-019-04098-z	Department of Pediatrics and Adolescent Medicine, Friedrich-Alexander-University of Erlangen-Nuremberg, Loschgestr. 15, Erlangen, 91054, Germany; Department of Neurosurgery, Friedrich-Alexander-University of Erlangen-Nuremberg, Erlangen, Germany; Institute for Women’s Healthcare (IFG), Erlangen, Germany; Department of Gynecology and Obstetrics, University Hospital Erlangen, Comprehensive Cancer Center Erlangen-EMN, Friedrich-Alexander-University of Erlangen-Nuremberg, Erlangen, Germany; Department of Pediatrics and Adolescent Medicine, Josefinum Augsburg, Augsburg, Germany
10.1016/j.jenvman.2019.02.042	University of Wuppertal, Institute of Foundation Engineering, Water- and Waste-Management, School of Architecture and Civil Engineering, Soil and Groundwater Management, Pauluskichstraße 7, Wuppertal, 42285, Germany; Trier University of Applied Sciences, Environmental Campus Birkenfeld, Department of Hydrothermal Carbonization, Birkenfeld, 55761, Germany; Helmholtz Centre for Environmental Research (UFZ), Department of Soil Ecology, Halle, D-06120, Germany; Federal University of Goiás (UFG), Department of Agronomy, Goiânia, 74690-900, Brazil; Federal Institute of Goiás (IFG), Department of Chemistry, Goiânia, 74055-110, Brazil; Federal University of Bahia (UFBA), Department of Chemical Engineering, Salvador, 40210-630, Brazil; Korea Biochar Research Center, O-Jeong Eco-Resilience Institute (OJERI) & Division of Environmental Science and Ecological Engineering, Korea University, Seoul, 02841, South Korea; Department of Soil Sciences, Faculty of Agriculture, Ain Shams University, Cairo, 11241, Egypt; Global Centre for Environmental Remediation (GCER), ATC Building, Level 1, Faculty of Science and Information Technology, The University of Newcastle, University Drive, Callaghan, NSW  2308, Australia; Biochar Engineering Technology Research Center of Guangdong Province, School of Environment and Chemical Engineering, Foshan University, Foshan, Guangdong  528000, China; Key Laboratory of Soil Contamination Bioremediation of Zhejiang Province, Zhejiang A & F University, Hangzhou, Zhejiang  311300, China; Sejong University, Department of Environment, Energy and Geoinformatics, 98 Gunja-Dong, Guangjin-Gu, Seoul, South Korea
10.1007/s00122-019-03302-7	Department of Horticulture, University of Arkansas, 316 Plant Sciences Bldg., Fayetteville, AR  72701, United States; USDA-ARS Grape Genetics Research Unit, Cornell University, 630 W. North St., Geneva, NY  14456, United States; Department of Horticulture, University of Georgia, 4604 Research Way, Tifton, GA  31793, United States; IFG, 8224 Espresso Dr. Suite 200, Bakersfield, CA  93312, United States
10.1007/s00449-019-02071-3	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, Germany; Institute of Engineering in Life Sciences, Section IV: Biomolecular Separation Engineering, Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 2, Karlsruhe, 76131, Germany
10.1080/10826068.2019.1573195	Faculdade de Farmácia, Universidade Federal de Goiás, Goiânia, GO, Brazil; Departamento de Quimica, Instituto Federal de Goias - IFG, Ciência e Tecnologia de Goiás, Instituto Federal de Educação, Goiânia, GO, Brazil
10.1021/acs.jpcc.8b08819	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, 76344, Germany; Department of Chemistry, Humboldt-University of Berlin, Berlin, 10099, Germany; Department of Physics, Shanghai University, Shanghai, 200444, China
10.1016/j.jfranklin.2018.11.036	Escola de Engenharia Elétrica, Mecânica e de Computaçao, UFG, Av. Universitária, No 1488, Goiânia, Goiás  74605-010, Brazil; Instituto de Matemática e Estatística, UFG, Campus Samambaia, Goiânia, Goiás  74001-970, Brazil; Instituto Federal de Educ. Ciência e Tecnol. de Goiás, IFG, Av. Pedro Ludovico s/n, Loteamento Reny Cury, Anápolis, Goiás  75131-500, Brazil; Agencia Nacional de Telecomunicações ANATEL, Distrito Federal, Brasília, 70070-940, Brazil; Faculdade de Engenharia Elétrica, UFU, Av. João Naves de Ávila 2121, No, Campus Santa Mônica, Uberlândia, Minas Gerais, Brazil; Institut fur Prozessdatenverarbeitung und Elektronik, KIT, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, Baden-Württemberg  76344, Germany
10.1016/j.medengphy.2019.02.011	Instituto de Física, Universidade Federal de Goiás – UFG, Goiás, Brazil; Instituto Federal de Educação, Ciência e Tecnologia de Goiás – IFG, Goiás, Brazil; Departamento de Física, Universidade de São Paulo – USP, São Paulo, Brazil
10.1016/j.eurpolymj.2019.01.062	Egypt Nanotechnology Center, EGNC, Cairo University, Giza, 12613, Egypt; Production Engineering and Printing Technology Department, Akhbar El Yom Academy, Giza, 12655, Egypt; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Research Institute of Medical Entomology, Giza, 12611, Egypt; Mechanical Engineering Department, National Research Centre, Giza, 12622, Egypt; Institute of Physics and Technology, International X-ray Optics Lab, National Research Tomsk Polytechnic University (TPU), 30, Lenin ave., Tomsk, 634050, Russian Federation
10.1016/j.materresbull.2018.12.022	Department of Physics, University of Kerala, Kariavattom, Trivandrum, Kerala  695581, India; Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz Platz-1, Eggenstein-Leopoldshafen, 76344, Germany
10.15809/irriga.2019v24n1p54-68	Departamento de Ciência do Solo, Faculdade de Ciências Agronômicas, UNESP-Universidade Estadual Paulista, Campus Botucatu, SP. Rua Professor Francisco Victor Rodrigues nº 803, Santo Antônio, Catalão, GO  CEP: 75701-130, Brazil; Universidade Estadual Paulista, UNESP/FCA, Rua José Barbosa de Barros, nº 1780, Lageado, Botucatu, SP  CEP: 18610-30, Brazil; Instituto Federal Goiano – Câmpus Urutaí, IFG, Rodovia Geraldo Silva Nascimento Km 2,5, Zona Rural, Urutaí, GO  CEP: 75790-000, Brazil; Agência Paulista de Tecnologia dos Agronegócios (APTA), Rodovia Prefeito Antônio Duarte Nogueira, nº 701, Ribeirão Preto, SP  CEP:14032-800, Brazil; Faculdade de Ciências Agronômicas, Universidade Estadual Paulista, UNESP/FCA, Passeio Monção, nº 309, Centro Norte, Ilha Solteira, SP  CEP:15385-000, Brazil
10.1126/sciadv.aau9124	Department of Microbiology, University of Helsinki, Viikinkaari 9, Helsinki, 00014, Finland; Universidade Católica Portuguesa, CBQF - Centro de Biotecnologia e Química Fina, Laboratório Associado, Escola Superior de Biotecnologia, Rua Arquiteto Lobão Vital, 172, Porto, 4200-374, Portugal; Technische Universität Dresden, Institute of Hydrobiology, Dresden, Germany; Department of Biology, Maynooth University, Maynooth, Co. Kildare, Ireland; Aquantec GmbH, Pfinztalstraße 90, Karlsruhe, D-76227, Germany; Department of Civil and Environmental Engineering, Nireas–International Water Research Centre, University of Cyprus, P.O. Box 20537, Nicosia, CY-1678, Cyprus; Department of Biology and CESAM, University of Aveiro, Campus Universitário Santiago, Aveiro, 3810-193, Portugal; Karlsruhe Institute of Technology (KIT)–Campus North, Institute of Functional Interfaces (IFG), P.O. Box 3640, Karlsruhe, 76021, Germany; Centro Nacional de Biotecnología, CSIC, Calle Darwin 3, Madrid, 20049, Spain; Norwegian University of Life Sciences, Faculty of Veterinary Medicine, Department of Food Safety and Infection Biology, Section of Microbiology, Immunology and Parasitology, Post Box 8146 Dep, Oslo, 0033, Norway; Catalan Institute for Water Research (ICRA), Emili Grahit 101, Girona, 17003, Spain; Key Laboratory of Soil Environment and Pollution Remediation, Institute of Soil Science, Chinese Academy of Sciences, Nanjing, 210008, China; Department of Civil and Environmental Engineering, Michigan State University, East Lansing, MI  48824, United States; Center for Microbial Ecology, Department of Plant, Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States
10.1039/c8py01777h	Institute of Toxicology and Genetics (ITG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute for Chemical Technology and Polymer Chemistry (ITCP), Karlsruhe Institute of Technology (KIT), Engesserstr. 18, Karlsruhe, 76128, Germany; Institute for Applied Materials-Energy Storage System (IAM-ESS), Karlsruhe Nano Micro Facility (KNMF), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.3390/en12061057	Department of Mechanical Engineering, Federal Institute of Goiás-IFG, Goiânia, 74055-110, Brazil; Department of Mechanical Engineering, Faculty of Technology, University of Brasilia, Brasilia, 70910-900, Brazil; Department of Chemistry, Federal Institute of Goiás-IFG, Goiânia, 74055-110, Brazil
10.1021/acs.nanolett.8b04694	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Karlsruhe Institute of Technology (KIT), Institute of Nanotechnology (INT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.18671/scifor.v47n121.05	Departamento de Ciências Florestais, Universidade Federal de Lavras- UFLA, Lavras, MG, Brazil; Instituto Federal Goiano, IFG, Morrinhos, GO, Brazil
10.1039/c8re00187a	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Eggenstein-Leopoldshafen, Germany
10.1016/j.eurpolymj.2018.10.009	Federal University of São Carlos (UFSCar), Department of Chemistry, Interdisciplinary Laboratory of Electrochemistry and Ceramics (LIEC), Rod. Washington Luis, Km 235, São Carlos, SP  13565-905, Brazil; State University of São Paulo (UNESP), Araçatuba Dental School, Department of Pediatric Dentistry and Public Health, Rua José Bonifácio 1193, Araçatuba, SP  16015-050, Brazil; Federal Institute of Education Science and Technology of Goias – Campus Uruaçu (IFG), Rua Formosa, Qd 28 e 29, Loteamento Santana, Uruaçu, GO  76400-000, Brazil; Graduate Program in Dentistry (GPD) – Master's Degree, University of Western São Paulo (UNOESTE), Rua José Bongiovani 700, Presidente Prudente, SP  19050-920, Brazil
10.1002/ejoc.201801232	Soft Matter Synthesis Laboratory, Institute for Biological Interfaces 3 (IBG 3), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, 76131, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Institute of Toxicology & Genetics (ITG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1039/c8py01474d	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany; Institute of Organic Chemistry (IOC), Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 6, Karlsruhe, D-76131, Germany; Institute of Toxicology and Genetics (ITG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, D-76344, Germany
10.1021/acsami.8b20951	Center for Materials Science, Zewail City of Science and Technology, October Gardens, 6th of October, Giza, 12578, Egypt; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.seppur.2018.09.014	Egypt Nanotechnology Center (EGNC), Cairo University, El-Sheikh Zayed, 12588, Egypt; Membrane Technology Department, Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT)76344, Germany; Production Engineering and Printing Technology Department, Akhbar El Yom Academy, Giza, 12655, Egypt; Department of Physics, Freie Universität Berlin, Berlin, 14195, Germany; Physics Department, Faculty of Science, Cairo University, Giza, 12613, Egypt; Chemistry Department, Faculty of Science, Cairo University Giza12588, Egypt
10.1016/j.chemosphere.2018.10.135	Membrane Technology Department, Institute of Functional Interfaces (IFG-MT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1016/j.radphyschem.2018.06.031	Instituto Federal de Educação, Ciência e Tecnologia de Goiás-IFG, Campus Goiânia, Goiânia, GO, Brazil; Instituto de Pesquisas Energéticas e Nucleares-IPEN/CNEN, São Paulo, SP, Brazil; Universidade Federal de São Carlos-UFSCar, São Carlos, SP, Brazil
10.1016/j.radphyschem.2018.05.024	Instituto Federal de Educação, Ciência e Tecnologia de Goiás-IFG, Campus Goiânia, Goiânia, GO  74055-110, Brazil; Instituto de Pesquisas Energéticas e Nucleares, Comissão Nacional de Energia Nuclear-IPEN/CNEN, São Paulo, SP  05508-000, Brazil
10.1145/3289600.3291032	UFMG, Brazil; IFG, Brazil; UFG, Brazil; UFSJ, Brazil; SEEK, Melbourne, Australia
10.1109/INDUSCON.2018.8627318	São Paulo State University (UNESP), School of Engineering, Ilha Solteira, São Paulo, Brazil; Federal Institute of Goiás (IFG), Jatai-Goiás, Brazil; Federal Institute of São Paulo (IFSP), Sorocaba-São Paulo, Brazil
10.1109/INDUSCON.2018.8627325	School of Engineering, São Paulo State University (UNESP), Ilha Solteira-São Paulo, Brazil; Federal Institute of Goiás (IFG), Jatai-Goiás, Brazil; Federal Institute of São Paulo (IFSP), Sorocaba-São Paulo, Brazil
10.1109/INDUSCON.2018.8627160	Departament of Electronic Engineering, UTFPR, Toledo-Paraná, 85902-490, Brazil; Departament of Elctrical Engineering, UNESP, Ilha Solteira, São Paulo, 15385-000, Brazil; Departament of Academic Areas, IFG, Jataí, Goiás, 75804-714, Brazil
10.1016/j.jallcom.2018.09.155	Department of Production Engineering and Manufacturing Technology, Modern Academy for Engineering and Technology in Maadi, Cairo, Egypt; Egypt Nanotechnology Center, EGNC, Cairo University, Giza, 12613, Egypt; Membrane Technology Department, Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT)76344, Germany; Production Engineering and Printing Technology Department, Akhbar El Yom Academy, Giza, 12655, Egypt; Mechanical Design and Production Engineering Department, Cairo University, Giza, 12613, Egypt
10.1002/anie.201811458	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Department of Chemistry, University of Cologne, Greinstraße 6, Cologne, 50939, Germany; Karlsruhe Institute of Technology (KIT), Institute of Nanotechnology (INT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.7306/VJ.17.3	Laboratorio de Paleontología, IFG, Facultad de Ciencias Exactas, Ingeniería y Agrimensura, Universidad Nacional de Rosario, Pellegrini 250, Rosario, 2000, Argentina; Museo Provincial de Ciencias Naturales “Prof. Dr. Juan A. Olsacher”, Dirección Provincial de Minería, Etcheluz y Ejército Argentino, Zapala, Neuquén, 8340, Argentina; Departamento Geología y Petróleo, Facultad de Ingeniería, Universidad Nacional del Comahue, Buenos Aires 1400, Neuquén, 8300, Argentina; Staatliches Museum für Naturkunde, Rosenstein 1, Stuttgart, 70191, Germany; Facultad de Ciencias Bioquímicas y Farmacéuticas, Universidad Nacional de Rosario, Suipacha 531, Rosario, 2000, Argentina
10.11159/iccste19.232	Federal Institute of Science and Technology/IFG, Rua Maria Vieira Cunha, 775, Residencial Flamboyant, Jatai´, Goiás, Brazil
10.3762/bjnano.10.235	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Campus Nord, Eggenstein-Leopoldshafen, 76344, Germany; Max-Planck-Institut für Eisenforschung GmbH, Düsseldorf, 40237, Germany; Thyssenkrupp Bilstein GmbH, Herner Str. 299, Bochum, 44809, Germany; Department of Chemistry, Institute of Inorganic and Analytical Chemistry, Goethe-University, Frankfurt, 60438, Germany
10.1177/1176934319889974	Department of Computer Science, University of Brasília, Brasília, Brazil; NEPBIO (Group of Biological Studies and Research on Cerrado), Federal Institute of Goiás (IFG), Formosa, Goiás, Brazil; Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil
10.1177/0020720919879058	Federal Institute of Education, Science and Technology of Goiás (IFG), Itumbiara, GO, Brazil; Faculty of Electrical Engineering, Federal University of Uberlandia (UFU), Uberlandia, MG, Brazil
10.3762/BJNANO.10.103	Laboratory for Biocolloids and Surface Chemistry, Division of Physical Chemistry, Ruder Bošković Institute, Bijenička Cesta 54, Zagreb, 10000, Croatia; Karlsruhe Institute of Technology (KIT), Institute for Nuclear Waste Disposal, Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Department of Chemistry, Faculty of Science, University of Zagreb, Horvatovac 102a, Zagreb, 10002, Croatia; Department of Organic Chemistry, Weizmann Institute of Science, Rehovot, 76100, Israel; Department of Analytical Chemistry, Faculty of Chemical Engineering and Technology, Marulićev trg 19, Zagreb, 10000, Croatia; Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany; Center of Excellence for Advanced Materials and Sensing Devices, Institute of Physics, Bijenička 46, Zagreb, 10000, Croatia; Laboratory for Precipitation Processes, Division of Materials Chemistry, Ruder Bošković Institute, Bijenička Cesta 54, Zagreb, 10000, Croatia
10.3379/msjmag.1907R003	IFG Corporation, 1-14-9 Oritate, Aoba-ku, Sendai, 982-0261, Japan; Graduate School of Engineering, Tohoku Univ, 6-6 Aramaki aza aoba, Aoba-ku, Sendai, 980-8579, Japan; Department of Rehabilitation Medicine I, School of Medicine, Fujita Health Univ., 1-98 Dengakugakubo, Kutsukake-cho, Toyoake, Aichi  470-1192, Japan; Graduate School of Biomedical Engineering, Tohoku Univ., 2-1 Seiryo-machi, Aoba-ku, Sendai, 980-8575, Japan; Institute of Fluid Science, Tohoku Univ, 2-1-1 Katahira, Aoba-ku, Sendai, 980-8577, Japan
10.1071/EN19126	Membrane Technology Department, Institute of Functional Interfaces (IFG-MT), Karlsruhe Institute of Technology (KIT), Hermann-von-Helmholtz-Platz 1, Eggenstein-Leopoldshafen, 76344, Germany
10.1071/SR19047	Federal Institute of Triângulo Mineiro (IFTM), Campus Uberaba, St. João Batista Ribeiro, No. 4000, Uberaba, MG, 38064-790, Brazil; Agrarian Sciences Institute (ICIAG), Federal University of Uberlândia (UFU), Campus Gloria, BR 050, km 78, Uberlândia, MG, 38400-000, Brazil; Agrarian Engineering School (FEAGRI), Campinas State University (UNICAMP), Av. Cândido Rondon, No. 501, Campinas, SP, 13083-875, Brazil; Federal Institute Goiano (IFG), Campus Iporá, Av. Oeste, No. 350, Iporá, GO, 76.200-000, Brazil
10.1007/s42452-018-0043-6	Department of Physics, University of Kerala, Kariavattom, Trivandrum, Kerala  695581, India; Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Hermann-von-Helmholtz Platz-1, Eggenstein-Leopoldshafen, 76344, Germany
10.1039/c9cc02849h	Karlsruhe Institute of Technology (KIT), Institute of Functional Interfaces (IFG), Eggenstein-Leopoldshafen, 76344, Germany; KIT, Institute of Biological Interfaces (IBG-2), Eggenstein-Leopoldshafen, 76344, Germany; KIT, Institute of Biological Interfaces 3-Soft Matter Lab (IBG-3), Eggenstein-Leopoldshafen, 76344, Germany; KIT, Institute of Toxicology and Genetics (ITG), Eggenstein-Leopoldshafen, 76344, Germany; KIT, Institute of Organic Chemistry (IOC), Karlsruhe, 76131, Germany
10.3389/fchem.2019.00451	Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology, Karlsruhe, Germany
10.4018/JDM.2019010103	Ministry of Transparency and Office of the Comptroller General, Brasília, Brazil; Federal Institute of Goiás (IFG), Formosa, Brazil; Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Universidade de Brasília, Brasília, Brazil; University of Brasília (UnB), Brasília, Brazil
10.1021/acscatal.9b00161	Institute for Chemical Technology and Polymer Chemistry (ITCP), Karlsruhe Institute of Technology (KIT), Karlsruhe, D-76131, Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, D-76344, Germany; Institute of Catalysis Research and Technology (IKFT), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, D-76344, Germany; Institute of Nanotechnology (INT), Karlsruhe Institute of Technology (KIT), Eggenstein-Leopoldshafen, D-76344, Germany
10.1117/12.2507385	Department of Microsystems Engineering (IMTEK), University of Freiburg, Germany; Institute of Microstructure Technology (IMT), Karlsruhe Institute of Technology (KIT), Germany; Institute of Functional Interfaces (IFG), Karlsruhe Institute of Technology (KIT), Germany
10.1504/IJCBDD.2019.099762	Department of Computer Science, University of Brasília, Brasília, 70910-900, Brazil; Federal Institute of Goiás IFG, Formosa, Brazil; Pontifical Catholic University of Rio de Janeiro, Department of Informatics, Rio de Janeiro, Brazil
10.1007/978-3-030-14850-8_11	Federal Institute of Education, Science and Technology of Goiás (IFG), Luziânia, Brazil; University of Fernando Pessoa, Porto, Portugal
10.1007/978-3-030-16181-1_50	UnB, University of Brasília, Brasília, Brazil; IFG, Federal Institute of Goiás, Goiânia, Brazil
10.1515/eng-2019-0010	Department of Academic Areas III, Instituto Federal de Goiás (IFG) and Master Student in the PPGEAS, Universidade Federal de Goiás (UFG), Goiânia, Brazil; Department of Academic Areas III, Instituto Federal de Goiás (IFG), Goiânia, Brazil; Environmental and Sanitary Engineering (PPGEAS) and Environmental Sciences (CIAMB), Universidade Federal de Goiás (UFG), Goiânia, Brazil; Geotechnics, Structures and Civil Construction (GECON), Universidade Federal de Goiás (UFG), Goiânia, Brazil
10.5004/dwt.2019.23333	School of Agronomy, Federal University of Goiás-UFG, Km-0, Caixa Postal 131, Goiânia, CEP 74690-900, Brazil; Federal Institute of Education, Science and Technology of Goiás-IFG, Vale das Goiabeiras, Inhumas, CEP 75400-000, Brazil
10.2495/ARC180131	Centro Universitário Euro-Americano (UNIEURO), Brazil; Gonçalves Engineering Company, Brazil; Instituto de Educação Superior de Brasília (IESB), Brazil; Instituto Federal de Goiás (IFG), Brazil
