PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	Campos de Melo, Aniela Pilar; Marçal Fernandes, Paulo; e Silva-Neto, Carlos de Melo; Seleguini, Alexsander		Solanáceas em sistema orgânico no Brasil: tomate, batata e physalis	Solanaceas in organic system in Brazil: tomato, potato and cape gooseberry			Scientia Agropecuaria	Portuguese	research-article	Solanum lycopersicum L; Solanum tuberosum L; cape gooseberry; agroecology; alternative systems		Solanum lycopersicum L; Solanum tuberosum L; uchuva; agroecologia; sistemas alternativos		The brazilian scientific research geared towards organic systems still have been permeated by a logic based on the mere substitution of inputs. Lack a deepening in relation to recognition of components of production systems (ecophysiology; management and fertility of the soil; soil and water conservation; health management) and how these can be investigated holistically. Based on such gaps is discussed in this review article the main particularities related to organic production of tomatoes and potatoes, main oleráceas of the nightshade family, Solanaceae, and an exotic fruit potential for organic systems, the physalis (Physalis peruviana L.)		A pesquisa científica brasileira voltada para sistemas orgânicos ainda tem sido permeada por uma lógica baseada na mera substituição de insumos. Falta um aprofundamento em relação ao reconhecimento dos componentes dos sistemas de produção (ecofisiologia; manejo e fertilidade do solo; conservação de água e solo; manejo fitossanitário) e como estes podem ser investigados de forma holística. Baseado em tais lacunas discute-se neste artigo de revisão as principais particularidades relacionadas a produção orgânica de tomate e batata, principais oleráceas da família Solanaceae, e de uma frutífera exótica potencial para sistemas orgânicos, a physalis (Physalis peruviana L.)		[Seleguini, Alexsander] Universidade Federal do Triângulo Mineiro, Brazil; [Campos de Melo, Aniela Pilar; Marçal Fernandes, Paulo] Universidade Federal de Goiás, Brazil; [e Silva-Neto, Carlos de Melo] Instituto Federal de Goiás, Brazil					81	1	1	0	1	Universidad Nacional de Trujillo. Facultad de Ciencias Agropecuarias			2077-9917	07	2017	8	3	279	290	10.17268/sci.agropecu.2017.03.11	Agriculture, Multidisciplinary; Agronomy	SciELO Peru	Agriculture	SCIELO:S2077-99172017000300011	gold				
J	Rios, Leonardo Essado		ABC das Teorias de Mudança de Comportamento: Resenha crítica	ABC of Behaviour Theories: Critical review			Revista Brasileira de Educação Médica	Portuguese	review-article	Behaviour; Behavioural Sciences; Medical Education		Comportamento; Ciências do Comportamento; Educação Médica		ABSTRACT This is a critic review – focusing on medical education – on the work of Michie et al., entitled “ABC of Behaviour Change Theories: an essential resource for researchers, policy makers and practitioners” published in the UK by Silverback Publishing in 2014.		RESUMO Trata-se de resenha crítica – com foco para a educação médica – da obra de Michie et al., intitulada “ABC of Behaviour Change Theories: an essential resource for researchers, policy makers and practitioners”, publicada no Reino Unido pela Silverback Publishing no ano de 2014.		[Rios, Leonardo Essado] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil		Rios, Leonardo Essado/AAV-4914-2021	Rios, Leonardo Essado/0000-0002-3096-9141		10	2	3	0	1	Associação Brasileira de Educação Médica			1981-5271	06	2017	41	2	356	358	10.1590/1981-52712015v41n2rb20160085	Health Care Sciences & Services	SciELO Brazil	Health Care Sciences & Services	SCIELO:S0100-55022017000200356	gold				
J	Safadi, Sandro de Oliveira		Ocupação urbana, redes sociais e territorialização da resistência: o caso de Aparecida de Goiânia, Brasil	Urban occupation, social medias and the resistance territorialization: the case of Aparecida de Goiânia, Brazil			urbe. Revista Brasileira de Gestão Urbana	Portuguese	research-article	Urban culture; Digital social medias; Territorialization of resistance		Cultura urbana; Redes sociais digitais; Territorialização da resistência		Abstract The analyses here proposed are based on the assumption of the city as the fundamental locus of contemporary tensions. The investigational itinerary tried to explain how the urban culture, considered the central move that daily takes place within the city, establishes with the landscape a relation of resistance against the global dynamics that penetrates places. The object of our study is Aparecida de Goiânia, a city comprised in the metropolitan region of Goiânia-GO. This study has leaned over the cultural materialities perceived in the landscape of Aparecida de Goiânia, intertwining theoretical approaches and contents gathered through interviews and questionnaires carried out with social actors directly involved in non-official culture. Between March 2013 and June 2015, more than three hundred groups/artists were identified, and about eighty institutions and seventy venues that systematically stimulate cultural life in the municipality of Aparecida de Goiânia. We have also added to the empirical research, one hundred and twenty one groups and artists who have profiles in digital social medias. The analysis, in this case, also permeates how digital social medias foster mechanisms of strengthening the cultural dynamics in the process of the lascape's materialities configuration. This materiality, objects, absorb the flows of local rationalities produced by individuals and organized groups, that the participation in these digital social medias encourage belonging, building territorialities resistant in the city.		Resumo É assumindo a cidade como o lócus fundamental das tensões contemporâneas que as análises aqui presentes se sustentam. O itinerário investigativo buscou explicitar como a cultura urbana, entendida como movimento cotidiano central das cidades, estabelece com a paisagem uma relação de resistência à dinâmica global que penetra os lugares. O objeto de estudo em questão é Aparecida de Goiânia, cidade partícipe da Região Metropolitana de Goiânia, no Estado de Goiás. O estudo se debruçou sobre as materialidades culturais que são percebidas na paisagem de Aparecida de Goiânia, entrelaçando apontamentos teóricos e conteúdos obtidos por meio de entrevistas e questionários realizados com atores sociais diretamente envolvidos com a cultura não oficializada. Entre março de 2013 e julho de 2015, identificaram-se mais de 300 grupos/artistas e cerca de 80 entidades e 70 locais que dinamizam sistematicamente a cultura no município de Aparecida de Goiânia. Agregaram-se ainda à pesquisa empírica 121 grupos e artistas que possuem perfis em redes sociais digitais, extraídos do universo identificado. A análise, portanto, permeia também o modo como essas redes fomentam mecanismos de fortalecimento da dinâmica cultural no processo de configuração das materialidades presentes na paisagem. Essas materialidades/objetos absorvem os fluxos de racionalidades locais produzidos pelos indivíduos e pelos grupos organizados; assim, com a participação nas referidas redes sociais digitais, estimula-se o pertencimento e fundam-se territorialidades resistentes na cidade.		[Safadi, Sandro de Oliveira] Instituto Federal de Goiás, Brasil					27	0	0	1	6	Pontifícia Universidade Católica do Paraná			2175-3369	04	2017	9	1	52	67	10.1590/2175-3369.009.001.ao05	Urban Studies	SciELO Brazil	Urban Studies	SCIELO:S2175-33692017000100052	gold				
J	Santos, Alberto Baêta dos; Stone, Luís Fernando; Heinemann, Alexandre Bryan; Santos, Talita Pereira Baêta		Índices fisiológicos do arroz irrigado afetados pela inundação e fertilização nitrogenada	Physiological indices of irrigated rice affected by flooding and nitrogen fertilization			Revista Ceres	Portuguese	research-article	Oryza sativa L.; growth; irrigation; management; nitrogen topdressing.		Oryza sativa L.; crescimento; irrigação; manejo; nitrogênio em cobertura.		ABSTRACT The management of water and nitrogen are among the necessary actions to achieve high yield potential in irrigated agricultural systems. The objective of this study was to determine the influence of time of the beginning of flood and N topdressing, in the development stages from V3 - V4 until V12 - V13, on physiological characteristics positively related to grain yield of irrigated rice cultivar BRS Jaçanã in a tropical wetland. A field experiment was conducted at Palmital farm of Embrapa Rice and Beans, Goianira, GO, Brazil, in a Dystrophic Haplic Gleysol, for two consecutive years. The experimental design was completely randomized with six replications arranged in a split-plot scheme. The main plots were comprised by the times of the beginning of flood and subplots by the times of N topdressing of 90 kg ha-1. For both factors, the times were set as 15, 30, 45, and 60 days after emergence, which corresponded to the vegetative development stages V3 - V4, V6 - V7, V9 (VF-4) - V10 (VF-3), and V12 (VF-1) - V13 (VF). As flood delays, tillering, leaf area ratio, and specific leaf area increase and shoot biomass, leaf area index, and leaf area duration decrease. Late N fertilization timing also provides decrease in these physiological indices. Delay in flooding and N fertilization reduced more leaf area than rice grain yield, resulting in higher leaf area efficiency. Nitrogen topdressing performed at the beginning of tillering and continuous flooding at the middle tillering stage result in increased physiological indices, such as leaf area ratio, leaf area index, and leaf area duration, which provide increase in irrigated rice grain yield.		RESUMO Os manejos de água e de nitrogênio estão entre as intervenções necessárias para se atingir alto potencial produtivo nos sistemas agrícolas irrigados. Objetivou-se, com este estudo, determinar as influências de épocas de início da inundação e de aplicação do N em cobertura, nos estádios de desenvolvimento V3 - V4 a V12 - V13, nas características fisiológicas relacionadas positivamente com a produtividade de grãos do cultivar BRS Jaçanã, de arroz irrigado, em várzea tropical. Foi conduzido um experimento na Fazenda Palmital, da Embrapa Arroz e Feijão, em Goianira, GO, em um Gleissolo Háplico distrófico, por dois anos consecutivos. O delineamento experimental foi o inteiramente casualizado, com seis repetições, no esquema de parcelas divididas, constituídas pelas épocas da inundação e, as subparcelas, pelas épocas de aplicação de 90 kg ha-1 de N em cobertura. Para os dois fatores, as épocas estabelecidas foram aos 15, 30, 45 e 60 dias após a emergência das plântulas, o que correspondeu aos estádios de desenvolvimento vegetativo V3 - V4; V6 - V7; V9 (VF-4) - V10 (VF-3) e V12 (VF-1) - V13 (VF). Na medida em que o início da inundação se atrasa, aumenta o perfilhamento, a razão de área foliar (RAF) e a área foliar específica (AFE) e decresce a biomassa da parte aérea (BPA), o índice de área foliar (IAF) e a duração de área foliar (DAF). Épocas tardias de aplicação de N em cobertura também provocam decréscimos desses índices fisiológicos. O emprego da inundação e da adubação nitrogenada no arroz irrigado tardiamente reduz proporcionalmente mais a área foliar que a produtividade de grãos, o que resulta em maior eficiência de área foliar. A adubação nitrogenada em cobertura, efetuada por ocasião do início do perfilhamento, e a inundação contínua no período médio de perfilhamento resultam em aumento dos índices fisiológicos, como RAF, IAF e DAF, que estão relacionados positivamente com a produtividade de grãos do arroz irrigado.		[Santos, Talita Pereira Baêta] Instituto Federal de Goiás, Brasil; [Santos, Alberto Baêta dos; Stone, Luís Fernando; Heinemann, Alexandre Bryan] Embrapa Arroz e Feijão, Brazil			Heinemann, Alexandre/0000-0002-7037-488X		22	2	4	1	3	Universidade Federal de Viçosa			2177-3491	04	2017	64	2	122	131	10.1590/0034-737x201764020003	Agriculture, Multidisciplinary	SciELO Brazil	Agriculture	SCIELO:S0034-737X2017000200122	gold				
J	LAGE, MICHELINE MADUREIRA		Vozes em diálogo: ensino, leitor e literatura sob o foco dos docentes de licenciatura em letras	VOCES EN DIÁLOGO: ENSEÑANZA, LECTURA Y LITERATURA BAJO EL FOCO DE LOS DOCENTES DE LICENCIATURA EN LETRAS	VOICES IN DIALOGUE: TEACHING, READER AND LITERATURE UNDER THE FOCUS OF UNDERGRADUATION STUDENTS FROM TEACHER EDUCATION IN PORTUGUESE		Revista Brasileira de Educação	Portuguese	research-article	teaching; reading; literature; teacher education in portuguese	enseñanza; lectura; literatura; formación de profesores en letras	ensino; leitura; literatura; formação de professores em letras		ABSTRACT The article has as it subjects of analysis the directions literature teaching is taking in federal universities of teacher education courses (in Portuguese) in the state of Minas Gerais. To perform the analysis, were employed qualitative and quantitative approaches to data, that were obtained primarily through field research. The corpus is composed of documents and interviews with professors from studied universities. Data analysis revealed the presence of diverse voices concerning to the relation between literature and education. By these voices, a series of reflections on such processes could outline the place literature contemporaneously occupies in the universities investigated in this study.	RESUMEN Este texto, oriundo de investigación desarrollada en el período de 2007 a 2010, tiene como objeto de análisis los direccionamientos de enseñanza de literatura en las facultades federales de letras (licenciaturas) del estado de Minas Gerais. Para la realización del análisis, se utilizó enfoques cualitativo y cuantitativo de los datos, que se obtuvieron fundamentalmente, por medio de pesquisa de campo. Documentos y entrevistas con profesores de las siguientes universidades compusieron el corpus de la investigación. Aprehende, por medio de entrevistas, diversas voces acerca de las relaciones literatura-enseñanza. A partir de ahí, se levanta una serie de reflexiones sobre tales procesos, delineándose el lugar que la literatura ocupa contemporaneamente en esas universidades.	RESUMO O artigo tem como objeto de análise os direcionamentos do ensino de literatura nas faculdades federais de letras (licenciaturas) do estado de Minas Gerais. Para a realização da análise, empregaram-se abordagens qualitativa e quantitativa, dados que foram obtidos fundamentalmente por meio de pesquisa de campo. Documentos e entrevistas com professores das universidades pesquisadas compuseram o corpus do trabalho. Apreendem-se, pela leitura dos dados, diversas vozes acerca das relações literatura-ensino. A partir daí, levanta-se uma série de reflexões sobre tais processos, delineando-se o lugar que a literatura ocupa contemporaneamente nessas universidades.		[LAGE, MICHELINE MADUREIRA] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil					8	0	0	0	4	ANPEd - Associação Nacional de Pós-Graduação e Pesquisa em Educação			1809-449X	03	2017	22	68	61	79	10.1590/s1413-24782017226804	Education & Educational Research	SciELO Brazil	Education & Educational Research	SCIELO:S1413-24782017000100061	gold				
J	PEREIRA, DEBORA GABRIELE DOS SANTOS PINTO; PANARELLI, ELIANA APARECIDA; PINHEIRO, LEANDRO DE SOUZA; GONÇALVES, ANDRÉ VINÍCIUS MARTINEZ; PEREIRA, LUCAS DE PAULA		ENVIRONMENTAL PROTECTION AREAS: THE CASE OF THE BEBEDOURO STREAM WATERSHED	ÁREA DE PRESERVAÇÃO PERMANENTE E RESERVA LEGAL: ESTUDO DE CASO NA BACIA DO CÓRREGO BEBEDOURO			Ambiente & Sociedade	English	research-article	Environmental Protection Area; water availability; Bebedouro Stream Watershed	Área de Protección Permanente; Reserva Legal; disponibilidad de recursos hídricos; cuenca del Arroyo Bebedouro	Área de Proteção Permanente; Reserva Legal; disponibilidade de recursos hídricos; Bacia do Córrego Bebedouro		Abstract Environmental Protection Areas are legal provisions aiming at the preservation of natural resources through the maintenance of the ecosystem functions. This study aimed to characterize the changes on the land-use between 2002 and 2011, verify the implementation of these legal provisions on the Bebedouro Stream Watershed (Frutal, Minas Gerais), analyze the implications of changes in environmental laws and indicate management options for water resource conservation. For this work the following procedures were performed: land-use mapping of the watershed; investigation on the occupation of the Frutal region; survey of records about the rural properties and Environmental Protection Areas registered. The comparative study of the Bebedouro Stream watershed showed the replacement of large pasture areas by sugarcane plantation; insufficient area of legal provision for biodiversity conservation and increase in the riparian forest during the period studied. Concluding remarks suggest management options for the water uses of the analyzed watershed.	Resumen Las Áreas Protegidas son dispositivos legales que tienen como objetivo la conservación de las funciones ecosistémicas. El estudio tuvo como objetivo caracterizar o uso de la tierra entre 2002 y 2011, verificar la aplicación de estos dispositivos en la cuenca del Arroyo Bebedouro (Frutal, Minas Gerais), analizar las consecuencias de los cambios en la legislación ambiental y proponer sugerencias acerca de la conservación. Para esto se realizaron los siguientes procedimientos: mapeo de uso de la tierra; investigación sobre la ocupación regional; levantamiento de los registros de las propiedades rurales. El estudio, comparativo de la cuenca presentó cambio de considerable área de pastajes por caña de azúcar, un aumento en el área de vegetación ribereña durante el período de estudio, sin embargo son insuficientes las áreas para la protección de la biodiversidad. Las consideraciones finales se plantean opciones de manejo para el aprovechamiento de los recursos hídricos de la cuenca analizada.	Resumo Áreas de Preservação Permanente e Reserva Legal são dispositivos legais que visam a conservação dos recursos naturais pela manutenção das funções ecossistêmicas. O presente estudo teve como objetivo caracterizar alterações no uso da terra, entre os anos de 2002 e 2011, verificar a aplicação desses dispositivos na bacia hidrográfica do Córrego Bebedouro (Frutal, Minas Gerais), analisar as implicações decorrentes da alteração do Código Florestal, e propor sugestões para a conservação dos recursos hídricos. Para este trabalho, foram realizados os seguintes procedimentos: mapeamento do uso da terra na bacia hidrográfica; investigação sobre a ocupação da região; levantamento dos registros das propriedades rurais e Reserva Legal. O estudo comparativo da bacia apresentou a substituição de uma área considerável de pastagem por canavial, uma área insuficiente de Reserva Legal, e o aumento na área de vegetação ribeirinha no período estudado. As considerações finais sugerem opções de manejo para o aproveitamento dos recursos hídricos na bacia analisada.		[PEREIRA, LUCAS DE PAULA] Universidade do Estado de Minas Gerais, Brazil; [PANARELLI, ELIANA APARECIDA] Universidade do Estado de Minas Gerais, Brazil; [GONÇALVES, ANDRÉ VINÍCIUS MARTINEZ] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [PINHEIRO, LEANDRO DE SOUZA] Universidade do Estado de Minas Gerais, Brazil; [PEREIRA, DEBORA GABRIELE DOS SANTOS PINTO] Universidade do Estado de Minas Gerais, Brazil					40	0	1	1	3	ANPPAS - Revista Ambiente e Sociedade			1809-4422	03	2017	20	1	105	126	10.1590/1809-4422asoc20150047r2v2012017	Environmental Studies	SciELO Brazil	Environmental Sciences & Ecology	SCIELO:S1414-753X2017000100105	gold				
J	Pires, Carmen Silvia Soares; Pimenta, Mayra; Mata, Renata Alves da; Souza, Lucas Machado de; Paula, Débora Pires; Sujii, Edison Ryoiti; Fontes, Eliana Maria Gouveia		Survival pattern of the boll weevil during cotton fallow in Midwestern Brazil	Padrão de sobrevivência do bicudo-do-algodoeiro durante o pousio na Região Centro-Oeste do Brasil			Pesquisa Agropecuária Brasileira	English	research-article	Anthonomus grandis; Gossypium hirsutum; alternative food; cotton bolls		Anthonomus grandis; Gossypium hirsutum; alimento alternativo; maças do algodoeiro		Abstract: The objective of this work was to determine the survival pattern of the cotton boll weevil during fallow in Midwestern Brazil. The percentage of adults that remained in the cotton reproductive structures, the percentage of adults searching for shelters, and the longevity of adults fed on pollen and nectar as alternative food sources were determined. For this, four populations were sampled in cotton squares and bolls, totaling 11,293 structures, from 2008 to 2012. The emergency of cotton weevil adults was monitored from the collection of the structures until the next cotton season. In the laboratory, newly-emerged adults were fed on hibiscus or Spanish needle, and their life span was monitored individually. Most adults (85.73%) left the reproductive structures, regardless of the cotton plant phenology, up to 49 days after the structures were collected. One individual (0.0002%) from 5,544 adults was found alive after the fallow period. The diet with hibiscus and Spanish needle provided adult longevity of 76±38 days, which was enough time for adults to survive during the fallow period. Most of the boll weevils leave the cotton structures at the end of harvest, survive using alternative food sources, and do not use cotton plant structures as shelter during the legal cotton fallow period in Midwestern Brazil.		Resumo: O objetivo deste trabalho foi determinar o padrão de sobrevivência do bicudo-do-algodoeiro durante o pousio no Centro-Oeste do Brasil. Foram determinadas as percentagens de adultos das populações que permaneceram nas estruturas reprodutivas do algodoeiro, as percentagens de adultos que saíram para os refúgios, e a longevidade dos adultos alimentados com pólen e néctar como fontes de alimentos alternativos. Para tanto, foram amostradas quatro populações em botões florais e maçãs do algodoeiro, que totalizam 11.293 estruturas, de 2008 a 2012. A emergência de adultos do bicudo-do-algodoeiro foi monitorada desde a coleta das estruturas até a próxima safra de algodão. Em laboratório, adultos recém-emergidos foram alimentados com hibisco ou picão, e sua longevidade foi monitorada individualmente. A maioria dos adultos (85,73%) saiu das estruturas reprodutivas, independentemente da fenologia do algodoeiro, até 49 dias após as estruturas terem sido coletadas. Um indivíduo (0.0002%) entre 5.544 adultos foi encontrado vivo após o período da entressafra. A dieta de hibisco e picão permitiu uma longevidade de 76±38 dias, tempo suficiente para manter os adultos vivos durante a entressafra. A maioria dos bicudos-de-algodoeiro deixa as estruturas reprodutivas do algodoeiro no final da colheita, sobrevive com alimento alternativo e não usa as estruturas da planta como abrigo durante o período legal de pousio na Região Centro-Oeste do Brasil.		[Mata, Renata Alves da] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Pires, Carmen Silvia Soares; Souza, Lucas Machado de; Paula, Débora Pires; Sujii, Edison Ryoiti; Fontes, Eliana Maria Gouveia] Embrapa Recursos Genéticos e Biotecnologia, Brazil; [Pimenta, Mayra] Instituto Chico Mendes de Conservação da Biodiversidade, Brazil		Sujii, Edison Ryoiti/H-7715-2015; de Souza, Lucas Machado/J-8621-2012	Sujii, Edison Ryoiti/0000-0002-0702-0181; Machado de Souza, Lucas/0000-0001-8589-9534		31	2	5	0	9	Embrapa Secretaria de Pesquisa e Desenvolvimento; Pesquisa Agropecuária Brasileira			1678-3921	03	2017	52	3	149	160	10.1590/s0100-204x2017000300002	Agriculture, Dairy & Animal Science; Agriculture, Multidisciplinary	SciELO Brazil	Agriculture	SCIELO:S0100-204X2017000300149	gold				
J	Campos, Flávio Arantes; Aguiar, Ana Carolina Ribeiro; Medeiros, Victor Souza; Branquinho, Adriene de Cássia; Silva, Franco Cesar Belchior da; Andrade, Rômulo Davi Albuquerque; Chaves, Andréa Rodrigues		DEGRADAÇÃO FOTOCATALÍTICA DE ATRAZINA NA PRESENÇA DE CATALISADORES NANOPARTICULADOS	ATRAZINE PHOTOCATALYTIC DEGRADATION IN NANOPARTICLES CATALYSTS PRESENCE			Química Nova	Portuguese	research-article	atrazine; degradation; photocatalysis				Atrazine is a persistent herbicide and several studies have detected their presence in drinking water sources. In this work the atrazine photocatalytic degradation was investigated in aqueous solution using TiO2, ZnO and TiO2/ZnO catalysts. The catalysts were synthesized by Pechini's method and characterized by X-ray diffraction (XRD) and scanning electron microscopy (SEM). The process was monitored using absorption spectroscopy in ultraviolet and visible (UV-vis) region and high performance liquid chromatography (HPLC). The prepared catalysts were used in ultrafine powder form and its characterization showed nanometer order particle sizes. The atrazine absorbance decrease was observed after samples irradiation in catalysts presence and HPLC analysis showed a significant herbicide reduction and other compounds formation as degradation products. The ZnO catalyst use was more effective in atrazine molecule degradation compared to the other nanoparticles.				[Andrade, Rômulo Davi Albuquerque] Instituto Federal de Goiás, Brasil; [Chaves, Andréa Rodrigues] Universidade Federal de Goiás, Brazil; [Campos, Flávio Arantes; Aguiar, Ana Carolina Ribeiro; Medeiros, Victor Souza; Branquinho, Adriene de Cássia; Silva, Franco Cesar Belchior da] Instituto Federal Goiano, Brazil		Chaves, Andrea/X-1066-2019; Chaves, Andrea Rodrigues/G-4082-2012	Chaves, Andrea/0000-0002-1600-1660; Chaves, Andrea Rodrigues/0000-0002-1600-1660		22	0	1	2	29	Sociedade Brasileira de Química			1678-7064	01	2017	40	1	36	41	10.21577/0100-4042.20160148	Chemistry, Multidisciplinary	SciELO Brazil	Chemistry	SCIELO:S0100-40422017000100036	gold				
J	Gomides, Maria de Jesus; Molin, Denise Coitinho Carpena Dal; Rêgo, João Henrique da Silva		Effect of the incorporation of aggregates with high sulfide content on the mechanical and microstructural properties of concrete with slag cement	Efeito da incorporação de agregados com alto teor de sulfetos nas propriedades mecânicas e microestruturais de concretos com cimento de escória			Matéria (Rio de Janeiro)	English	research-article	sulfide; oxidation; expansion; strength; concrete				ABSTRACT The mineralogical change in the sulfides present in many aggregates can affect their stability, which may undermine the performance of the concrete. This is a complex process and there is limited research in this area. In this study, we examined the influence of aggregates containing a high sulfide content on the performance of concrete containing slag cement. The sulfides present in the aggregates were initially identified and quantified. The changes at the microstructural level of the concrete caused by the sulfide-containing aggregates were then examined. These included volume changes, as well as their effect on the compressive strength and modulus of elasticity. The results show that slag cement does not reduce expansion, and it is this expansion that affects the mechanical properties of concrete.				[Rêgo, João Henrique da Silva] Universidade de Brasília, Brazil; [Gomides, Maria de Jesus] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Molin, Denise Coitinho Carpena Dal] Universidade Federal do Rio Grande do Sul, Brazil		Dal Molin, Denise/AAC-3442-2021	Dal Molin, Denise/0000-0003-1934-7533		25	0	1	0	1	Rede Latino-Americana de Materiais			1517-7076		2017	22	3	e11851		10.1590/s1517-707620170003.0185	Construction & Building Technology; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering	SciELO Brazil	Construction & Building Technology; Materials Science; Metallurgy & Metallurgical Engineering	SCIELO:S1517-70762017000300401	gold				
J	Matos, Marcos André de; França, Divânia Dias da Silva; Carneiro, Megmar Aparecida dos Santos; Martins, Regina Maria Bringel; Kerr, Lígia Regina Franco Sansigolo; Caetano, Karlla Antonieta Amorim; Pinheiro, Raquel Silva; Araújo, Lyriane Apolinário de; Mota, Rosa Maria Salani; Matos, Marcia Alves Dias de; Motta-Castro, Ana Rita Coimbra; Teles, Sheila Araújo		Viral hepatitis in female sex workers using the Respondent-Driven Sampling				Revista de Saúde Pública	English	research-article	Sex Workers; Hepatitis B, epidemiology; Hepatitis C, epidemiology; Seroepidemiologic Studies				ABSTRACT OBJECTIVE To estimate the prevalence of hepatitis B virus and C virus infections and their genotypes and analyze the risk factors for the markers of exposure to hepatitis B virus in female sex workers in a region of intense sex trade. METHODS This is a cross-sectional study performed with four hundred and two female sex workers in Goiânia, Brazil. Data have been collected using the Respondent-Driven Sampling. The women have been interviewed and tested for markers of hepatitis B and C viruses. Positive samples have been genotyped. The data have been analyzed using the Respondent-Driven Sampling Analysis Tool, version 5.3, and Stata 11.0. RESULTS The adjusted prevalence for hepatitis B virus and C virus were 17.1% (95%CI 11.6–23.4) and 0.7% (95%CI 0.1–1.5), respectively. Only 28% (95%CI 21.1–36.4) of the participants had serological evidence of vaccination against hepatitis B virus. Being older (> 40 years), being single, having a history of blood transfusion and use of cocaine, and ignoring the symptoms of sexually transmitted infections were associated with positivity for hepatitis B virus (p < 0.05). We have detected the subgenotype A1 of hepatitis B virus (n = 3) and the subtypes of hepatitis C virus 1a (n = 3) and 1b (n = 1). CONCLUSIONS We can observe a low prevalence of infection of hepatitis B and C viruses in the studied population. However, the findings of the analysis of the risk factors show the need for more investment in prevention programs for sexual and drug-related behavior, as well as more efforts to vaccinate this population against hepatitis B. The genotypes of the hepatitis B virus and C virus identified are consistent with those circulating in Brazil.				[Kerr, Lígia Regina Franco Sansigolo] Universidade Federal do Ceará, Brazil; [Motta-Castro, Ana Rita Coimbra] Universidade Federal de Mato Grosso do Sul, Brazil; [França, Divânia Dias da Silva] Secretaria Municipal de Saúde de Goiânia, Brazil; [Matos, Marcos André de; Caetano, Karlla Antonieta Amorim; Pinheiro, Raquel Silva; Teles, Sheila Araújo] Universidade Federal de Goiás, Brazil; [Carneiro, Megmar Aparecida dos Santos; Martins, Regina Maria Bringel; Matos, Marcia Alves Dias de] Universidade Federal de Goiás, Brazil; [Araújo, Lyriane Apolinário de] Instituto Federal de Educação, Ciência e Tecnologia de Goiás, Brazil; [Mota, Rosa Maria Salani] Universidade Federal do Ceará, Brazil		; Carneiro, Megmar/O-6482-2018; KERR, LIGIA/F-9250-2012	Motta-Castro, Ana Rita/0000-0003-3070-1337; Carneiro, Megmar/0000-0003-0569-477X; KERR, LIGIA/0000-0003-4941-408X		43	0	3	0	0	Faculdade de Saúde Pública da Universidade de São Paulo			1518-8787		2017	51		65		10.1590/s1518-8787.2017051006540	Public, Environmental & Occupational Health; Sociology	SciELO Brazil	Public, Environmental & Occupational Health; Sociology	SCIELO:S0034-89102017000100248	gold				
